"RelativePath","Extension","SizeMB","LastWrite","FullName"
"preTrained_models\ppo\mapden_rgb\ppo_policy_7_.pth",".pth","1.768","8/4/2026 7:13:55 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\mapden_rgb\ppo_policy_7_.pth"
"checkpoints\PPO\mapden_rgb\checkpoint_ppo_7.pickle",".pickle","0","8/4/2026 7:07:31 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\mapden_rgb\checkpoint_ppo_7.pickle"
"checkpoints\PPO\mapden_rgb\checkpoint_ppo_6.pickle",".pickle","0","8/4/2026 7:07:31 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\mapden_rgb\checkpoint_ppo_6.pickle"
"preTrained_models\ppo\mapden_rgb\ppo_policy_6_.pth",".pth","1.768","8/4/2026 7:07:31 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\mapden_rgb\ppo_policy_6_.pth"
"preTrained_models\ppo\mapden_rgb\ppo_policy_5_.pth",".pth","1.768","8/4/2026 5:49:20 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\mapden_rgb\ppo_policy_5_.pth"
"checkpoints\PPO\mapden_rgb\checkpoint_ppo_5.pickle",".pickle","0","8/4/2026 5:49:20 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\mapden_rgb\checkpoint_ppo_5.pickle"
"checkpoints\PPO\mapden_rgb\checkpoint_ppo_4.pickle",".pickle","0","8/4/2026 4:44:30 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\mapden_rgb\checkpoint_ppo_4.pickle"
"preTrained_models\ppo\mapden_rgb\ppo_policy_4_.pth",".pth","1.768","8/4/2026 4:44:30 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\mapden_rgb\ppo_policy_4_.pth"
"checkpoints\PPO\mapden_rgb\checkpoint_ppo_3.pickle",".pickle","0","8/4/2026 3:56:27 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\mapden_rgb\checkpoint_ppo_3.pickle"
"preTrained_models\ppo\mapden_rgb\ppo_policy_3_.pth",".pth","1.768","8/4/2026 3:56:27 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\mapden_rgb\ppo_policy_3_.pth"
"checkpoints\PPO\mapden_rgb\checkpoint_ppo_2.pickle",".pickle","0","8/4/2026 3:17:42 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\mapden_rgb\checkpoint_ppo_2.pickle"
"preTrained_models\ppo\mapden_rgb\ppo_policy_2_.pth",".pth","1.768","8/4/2026 3:17:42 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\mapden_rgb\ppo_policy_2_.pth"
"checkpoints\PPO\mapden_rgb\checkpoint_ppo_1.pickle",".pickle","0","8/4/2026 2:48:30 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\mapden_rgb\checkpoint_ppo_1.pickle"
"preTrained_models\ppo\mapden_rgb\ppo_policy_1_.pth",".pth","1.768","8/4/2026 2:48:30 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\mapden_rgb\ppo_policy_1_.pth"
"checkpoints\PPO\mapden_rgb\checkpoint_ppo_0.pickle",".pickle","0","8/4/2026 2:26:32 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\mapden_rgb\checkpoint_ppo_0.pickle"
"preTrained_models\ppo\mapden_rgb\ppo_policy_0_.pth",".pth","1.768","8/4/2026 2:26:32 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\mapden_rgb\ppo_policy_0_.pth"
"autoencoder_rgb\model\decoder_rgb.pth",".pth","53.067","8/4/2026 1:29:09 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\autoencoder_rgb\model\decoder_rgb.pth"
"autoencoder_rgb\model\var_encoder_rgb.pth",".pth","53.395","8/4/2026 1:29:09 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\autoencoder_rgb\model\var_encoder_rgb.pth"
"autoencoder_rgb\model\vae_rgb_best.pth",".pth","319.375","8/4/2026 1:29:08 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\autoencoder_rgb\model\vae_rgb_best.pth"
"autoencoder_rgb\model\vae_rgb_last.pth",".pth","319.375","8/4/2026 1:29:08 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\autoencoder_rgb\model\vae_rgb_last.pth"
"preTrained_models\ppo\mapden\ppo_policy_8_.pth",".pth","1.768","8/3/2026 6:13:58 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\mapden\ppo_policy_8_.pth"
"checkpoints\PPO\mapden\checkpoint_ppo_8.pickle",".pickle","0","8/3/2026 6:08:28 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\mapden\checkpoint_ppo_8.pickle"
"checkpoints\PPO\mapden\checkpoint_ppo_7.pickle",".pickle","0","8/3/2026 5:44:37 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\mapden\checkpoint_ppo_7.pickle"
"preTrained_models\ppo\mapden\ppo_policy_7_.pth",".pth","1.768","8/3/2026 5:44:37 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\mapden\ppo_policy_7_.pth"
"checkpoints\PPO\mapden\checkpoint_ppo_6.pickle",".pickle","0","8/3/2026 4:29:59 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\mapden\checkpoint_ppo_6.pickle"
"preTrained_models\ppo\mapden\ppo_policy_6_.pth",".pth","1.768","8/3/2026 4:29:59 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\mapden\ppo_policy_6_.pth"
"checkpoints\PPO\mapden\checkpoint_ppo_5.pickle",".pickle","0","8/3/2026 3:42:36 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\mapden\checkpoint_ppo_5.pickle"
"preTrained_models\ppo\mapden\ppo_policy_5_.pth",".pth","1.768","8/3/2026 3:42:36 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\mapden\ppo_policy_5_.pth"
"checkpoints\PPO\mapden\checkpoint_ppo_4.pickle",".pickle","0","8/3/2026 3:10:48 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\mapden\checkpoint_ppo_4.pickle"
"preTrained_models\ppo\mapden\ppo_policy_4_.pth",".pth","1.768","8/3/2026 3:10:48 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\mapden\ppo_policy_4_.pth"
"checkpoints\PPO\mapden\checkpoint_ppo_3.pickle",".pickle","0","8/3/2026 2:28:21 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\mapden\checkpoint_ppo_3.pickle"
"preTrained_models\ppo\mapden\ppo_policy_3_.pth",".pth","1.768","8/3/2026 2:28:21 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\mapden\ppo_policy_3_.pth"
"checkpoints\PPO\mapden\checkpoint_ppo_2.pickle",".pickle","0","8/3/2026 2:04:57 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\mapden\checkpoint_ppo_2.pickle"
"preTrained_models\ppo\mapden\ppo_policy_2_.pth",".pth","1.768","8/3/2026 2:04:57 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\mapden\ppo_policy_2_.pth"
"checkpoints\PPO\mapden\checkpoint_ppo_1.pickle",".pickle","0","8/3/2026 1:43:16 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\mapden\checkpoint_ppo_1.pickle"
"preTrained_models\ppo\mapden\ppo_policy_1_.pth",".pth","1.768","8/3/2026 1:43:16 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\mapden\ppo_policy_1_.pth"
"checkpoints\PPO\mapden\checkpoint_ppo_0.pickle",".pickle","0","8/3/2026 1:23:02 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\mapden\checkpoint_ppo_0.pickle"
"preTrained_models\ppo\mapden\ppo_policy_0_.pth",".pth","1.768","8/3/2026 1:23:02 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\mapden\ppo_policy_0_.pth"
"preTrained_models\ppo\bandoxethuc\ppo_policy_13_.pth",".pth","1.768","7/28/2026 2:51:28 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\bandoxethuc\ppo_policy_13_.pth"
"checkpoints\PPO\bandoxethuc\checkpoint_ppo_13.pickle",".pickle","0","7/28/2026 2:48:40 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\bandoxethuc\checkpoint_ppo_13.pickle"
"checkpoints\PPO\bandoxethuc\checkpoint_ppo_12.pickle",".pickle","0","7/28/2026 2:34:58 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\bandoxethuc\checkpoint_ppo_12.pickle"
"preTrained_models\ppo\bandoxethuc\ppo_policy_12_.pth",".pth","1.768","7/28/2026 2:34:58 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\bandoxethuc\ppo_policy_12_.pth"
"checkpoints\PPO\bandoxethuc\checkpoint_ppo_11.pickle",".pickle","0","7/28/2026 1:51:25 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\bandoxethuc\checkpoint_ppo_11.pickle"
