case,phase,elapsed_s,sim_frame,target_mps,speed_mps,throttle,brake,gear,reverse,manual_gear_shift,speed_error_mps,throttle_ff
accel_0_to_0.5,accel,0.02,1797096,0.5,0.0011661746669416476,0.9394731521606445,0.0,0,0,0,0.49680848186491927,0.515
accel_0_to_0.5,accel,0.04,1797097,0.5,0.001605806925376097,0.9433895945549011,0.0,0,0,0,0.49883382533305837,0.515
accel_0_to_0.5,accel,0.06,1797098,0.5,0.0026493483818869484,0.9452088475227356,0.0,0,0,0,0.4983941930746239,0.515
accel_0_to_0.5,accel,0.08,1797099,0.5,0.0033812176008935413,0.9465101361274719,0.0,0,0,0,0.49735065161811304,0.515
accel_0_to_0.5,accel,0.1,1797100,0.5,0.003812394746115327,0.9480732083320618,0.0,0,0,0,0.49661878239910645,0.515
accel_0_to_0.5,accel,0.12,1797101,0.5,0.0040071031948653735,0.9498898983001709,0.0,0,0,0,0.49618760525388467,0.515
accel_0_to_0.5,accel,0.14,1797102,0.5,0.00402518032878911,0.9519068002700806,0.0,0,0,0,0.49599289680513464,0.515
accel_0_to_0.5,accel,0.16,1797103,0.5,0.003916518022184675,0.9540737271308899,0.0,0,0,0,0.4959748196712109,0.515
accel_0_to_0.5,accel,0.18,1797104,0.5,0.003720882429741107,0.9563488364219666,0.0,0,0,0,0.4960834819778153,0.515
accel_0_to_0.5,accel,0.2,1797105,0.5,0.0034693668311618674,0.9586987495422363,0.0,0,0,0,0.4962791175702589,0.515
accel_0_to_0.5,accel,0.22,1797106,0.5,0.003185892155938259,0.9610973000526428,0.0,0,0,0,0.4965306331688381,0.515
accel_0_to_0.5,accel,0.24,1797107,0.5,0.002888530275352171,0.9635242223739624,0.0,0,0,0,0.4968141078440617,0.515
accel_0_to_0.5,accel,0.26,1797108,0.5,0.002590370096810755,0.9659642577171326,0.0,0,0,0,0.4971114697246478,0.515
accel_0_to_0.5,accel,0.28,1797109,0.5,0.002300799498745563,0.9684063196182251,0.0,0,0,0,0.49740962990318927,0.515
accel_0_to_0.5,accel,0.3,1797110,0.5,0.0020261555836057587,0.9708423018455505,0.0,0,0,0,0.49769920050125444,0.515
accel_0_to_0.5,accel,0.32,1797111,0.5,0.0017704732681516299,0.9732668399810791,0.0,0,0,0,0.49797384441639425,0.515
accel_0_to_0.5,accel,0.34,1797112,0.5,0.0015361013502239783,0.9756763577461243,0.0,0,0,0,0.4982295267318484,0.515
accel_0_to_0.5,accel,0.36,1797113,0.5,0.0013238090570367928,0.9780688285827637,0.0,0,0,0,0.498463898649776,0.515
accel_0_to_0.5,accel,0.38,1797114,0.5,0.0011336578143764642,0.9804434776306152,0.0,0,0,0,0.4986761909429632,0.515
accel_0_to_0.5,accel,0.4,1797115,0.5,0.00096496218325778,0.9828001260757446,0.0,0,0,0,0.49886634218562353,0.515
accel_0_to_0.5,accel,0.42,1797116,0.5,0.000816482635729025,0.9851392507553101,0.0,0,0,0,0.49903503781674224,0.515
accel_0_to_0.5,accel,0.44,1797117,0.5,0.0006869536955823634,0.9874618649482727,0.0,0,0,0,0.49918351736427097,0.515
accel_0_to_0.5,accel,0.46,1797118,0.5,0.0005746252164502914,0.989768922328949,0.0,0,0,0,0.49931304630441764,0.515
accel_0_to_0.5,accel,0.48,1797119,0.5,0.00047795387626131555,0.9920619130134583,0.0,0,0,0,0.4994253747835497,0.515
accel_0_to_0.5,accel,0.5,1797120,0.5,0.0003952161111517386,0.9943419694900513,0.0,0,0,0,0.4995220461237387,0.515
accel_0_to_0.5,accel,0.52,1797121,0.5,0.0003248100765623249,0.9966105222702026,0.0,0,0,0,0.49960478388884827,0.515
accel_0_to_0.5,accel,0.54,1797122,0.5,0.0002653841259127814,0.9988689422607422,0.0,0,0,0,0.4996751899234377,0.515
accel_0_to_0.5,accel,0.56,1797123,0.5,0.00021541515505554772,1.0,0.0,0,0,0,0.49973461587408724,0.515
accel_0_to_0.5,accel,0.58,1797124,0.5,0.00017369422466690957,1.0,0.0,0,0,0,0.4997845848449445,0.515
accel_0_to_0.5,accel,0.6,1797125,0.5,0.00013903788440202262,1.0,0.0,0,0,0,0.4998263057753331,0.515
accel_0_to_0.5,accel,0.62,1797126,0.5,0.00011045954924569854,1.0,0.0,0,0,0,0.499860962115598,0.515
accel_0_to_0.5,accel,0.64,1797127,0.5,8.703096680506973e-05,1.0,0.0,0,0,0,0.4998895404507543,0.515
accel_0_to_0.5,accel,0.66,1797128,0.5,6.795594894794756e-05,1.0,0.0,0,0,0,0.49991296903319493,0.515
accel_0_to_0.5,accel,0.68,1797129,0.5,5.2560261500472174e-05,1.0,0.0,0,0,0,0.49993204405105207,0.515
accel_0_to_0.5,accel,0.7000000000000001,1797130,0.5,4.031901080201148e-05,1.0,0.0,0,0,0,0.49994743973849953,0.515
accel_0_to_0.5,accel,0.72,1797131,0.5,3.065727677497977e-05,1.0,0.0,0,0,0,0.49995968098919796,0.515
accel_0_to_0.5,accel,0.74,1797132,0.5,2.3112022476112834e-05,1.0,0.0,0,0,0,0.499969342723225,0.515
accel_0_to_0.5,accel,0.76,1797133,0.5,1.7376746405770407e-05,1.0,0.0,0,0,0,0.4999768879775239,0.515
accel_0_to_0.5,accel,0.78,1797134,0.5,1.316130000873383e-05,1.0,0.0,0,0,0,0.4999826232535942,0.515
accel_0_to_0.5,accel,0.8,1797135,0.5,3.5684572696923297e-06,1.0,0.0,0,0,0,0.4999868386999913,0.515
accel_0_to_0.5,accel,0.8200000000000001,1797136,0.5,5.448584606827971e-06,1.0,0.0,0,0,0,0.4999964315427303,0.515
accel_0_to_0.5,accel,0.84,1797137,0.5,6.3453058536379225e-06,1.0,0.0,0,0,0,0.4999945514153932,0.515
